"eu_q_rank","eu_ntile_name","indicator","value"
1,"D01","Adult equivalents",33.4175834155284
1,"D01","Total population",57.694520050246
2,"D02","Adult equivalents",33.4175834155284
2,"D02","Total population",58.2868463130974
3,"D03","Adult equivalents",33.4175834155284
3,"D03","Total population",55.2185040527029
4,"D04","Adult equivalents",33.4175834155284
4,"D04","Total population",52.7148820566517
5,"D05","Adult equivalents",33.4175834155284
5,"D05","Total population",51.4365737695431
6,"D06","Adult equivalents",33.4175834155284
6,"D06","Total population",55.2764876059574
7,"D07","Adult equivalents",33.4175834155284
7,"D07","Total population",50.961777172534
8,"D08","Adult equivalents",33.4175834155284
8,"D08","Total population",50.1896927447811
9,"D09","Adult equivalents",33.4175834155284
9,"D09","Total population",51.0305334066311
10,"D10","Adult equivalents",33.4175834146283
10,"D10","Total population",50.4110548278553
